accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,c1-25 Ns,c1-25 Ns %,masked c1-25 Ns,masked c1-25 Ns %,c2-25 Ns,c2-25 Ns %,masked c2-25 Ns,masked c2-25 Ns %,c3-25 Ns,c3-25 Ns %,masked c3-25 Ns,masked c3-25 Ns %,c4-25 Ns,c4-25 Ns %,masked c4-25 Ns,masked c4-25 Ns %,c5-25 Ns,c5-25 Ns %,masked c5-25 Ns,masked c5-25 Ns %,c6-25 Ns,c6-25 Ns %,masked c6-25 Ns,masked c6-25 Ns %,c7-25 Ns,c7-25 Ns %,masked c7-25 Ns,masked c7-25 Ns %,c8-25 Ns,c8-25 Ns %,masked c8-25 Ns,masked c8-25 Ns %,c9-25 Ns,c9-25 Ns %,masked c9-25 Ns,masked c9-25 Ns %,c10-25 Ns,c10-25 Ns %,masked c10-25 Ns,masked c10-25 Ns %,c11-25 Ns,c11-25 Ns %,masked c11-25 Ns,masked c11-25 Ns %,c12-25 Ns,c12-25 Ns %,masked c12-25 Ns,masked c12-25 Ns %
NC_031228.1,Salmonella phage BP12C  complete genome,60606,129,.21,0,0,129,.21,49,.08,178,.29,49,.08,178,.29,49,.08,178,.29,0,0,129,.21,0,0,129,.21,0,0,129,.21,0,0,129,.21,49,.08,178,.29,0,0,129,.21,0,0,129,.21,0,0,129,.21,343,.56,423,.69
NC_031250.1,Salmonella phage BP63  complete genome,52437,183,.34,0,0,183,.34,417,.79,600,1.14,245,.46,428,.81,196,.37,379,.72,0,0,183,.34,0,0,183,.34,0,0,183,.34,0,0,183,.34,417,.79,600,1.14,0,0,183,.34,0,0,183,.34,0,0,183,.34,319,.60,502,.95
NC_031258.1,Salmonella phage BP12A  complete genome,39696,0,0,0,0,0,0,245,.61,0,0,294,.74,0,0,245,.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.12,0,0,245,.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,1.05,0,0
NC_031271.1,Salmonella phage BP12B  complete genome,43602,161,.36,0,0,161,.36,245,.56,406,.93,98,.22,259,.59,147,.33,308,.70,0,0,161,.36,0,0,161,.36,0,0,161,.36,0,0,161,.36,270,.61,431,.98,0,0,161,.36,0,0,161,.36,0,0,161,.36,147,.33,259,.59
NC_031902.1,Salmonella phage 100268 sal2  complete genome,125114,785,.62,49,.03,834,.66,1743,1.39,2478,1.98,761,.60,1497,1.19,613,.48,1398,1.11,49,.03,834,.66,49,.03,834,.66,0,0,785,.62,49,.03,834,.66,1841,1.47,2576,2.05,0,0,785,.62,49,.03,834,.66,49,.03,834,.66,1054,.84,1839,1.46
NC_031918.1,Salmonella phage 64795 sal3  complete genome,45342,251,.55,0,0,251,.55,467,1.02,643,1.41,196,.43,447,.98,147,.32,398,.87,0,0,251,.55,0,0,251,.55,0,0,251,.55,0,0,251,.55,467,1.02,643,1.41,0,0,251,.55,0,0,251,.55,0,0,251,.55,196,.43,447,.98
NC_031924.1,Salmonella phage IME207  complete genome,47564,153,.32,98,.20,251,.52,540,1.13,644,1.35,49,.10,202,.42,49,.10,202,.42,0,0,153,.32,98,.20,251,.52,0,0,153,.32,0,0,153,.32,589,1.23,693,1.45,0,0,153,.32,98,.20,251,.52,98,.20,251,.52,368,.77,521,1.09
NC_031925.1,Salmonella phage BPS11Q3  complete genome,43788,0,0,49,.11,0,0,564,1.28,0,0,245,.55,0,0,245,.55,0,0,49,.11,0,0,49,.11,0,0,0,0,0,0,49,.11,0,0,515,1.17,0,0,0,0,0,0,49,.11,0,0,49,.11,0,0,196,.44,0,0
NC_031930.1,Salmonella phage 118970 sal1  complete genome,59518,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,0,0,115,.19,343,.57,458,.76
NC_031933.1,Salmonella phage 118970 sal2  complete genome,114180,701,.61,49,.04,750,.65,1743,1.52,2386,2.08,858,.75,1510,1.32,613,.53,1314,1.15,49,.04,750,.65,49,.04,750,.65,0,0,701,.61,0,0,701,.61,1792,1.56,2435,2.13,0,0,701,.61,49,.04,750,.65,49,.04,750,.65,1275,1.11,1976,1.73
NC_031939.1,Salmonella phage BPS15Q2  complete genome,89817,273,.30,196,.21,420,.46,2137,2.37,2262,2.51,858,.95,1082,1.20,908,1.01,1107,1.23,49,.05,273,.30,196,.21,420,.46,49,.05,273,.30,98,.10,322,.35,2332,2.59,2457,2.73,0,0,273,.30,196,.21,420,.46,196,.21,420,.46,637,.70,861,.95
NC_031940.1,Salmonella phage 118970 sal3  complete genome,77375,0,0,0,0,0,0,392,.50,0,0,245,.31,0,0,196,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,.53,0,0
NC_031946.1,Salmonella Phage 103203 sal5  complete genome,40443,95,.23,98,.24,193,.47,957,2.36,1052,2.60,417,1.03,512,1.26,319,.78,414,1.02,98,.24,193,.47,98,.24,193,.47,0,0,95,.23,0,0,95,.23,908,2.24,1003,2.48,0,0,95,.23,98,.24,193,.47,98,.24,193,.47,343,.84,438,1.08
NC_032107.1,NL63-related bat coronavirus strain BtKYNL63-9a  complete genome,28363,33,.11,0,0,33,.11,343,1.20,376,1.32,98,.34,131,.46,49,.17,82,.28,0,0,33,.11,0,0,33,.11,0,0,33,.11,0,0,33,.11,343,1.20,376,1.32,0,0,33,.11,0,0,33,.11,0,0,33,.11,294,1.03,327,1.15
NC_032111.1,BeAn 58058 virus  complete genome,163005,4227,2.59,1476,.90,5036,3.08,19754,12.11,21707,13.31,3339,2.04,6776,4.15,2922,1.79,6604,4.05,397,.24,4325,2.65,1108,.67,4815,2.95,299,.18,4227,2.59,544,.33,4472,2.74,19211,11.78,21262,13.04,299,.18,4227,2.59,1476,.90,5036,3.08,1378,.84,4938,3.02,3732,2.28,7317,4.48
NC_032730.1,Lucheng Rn rat coronavirus isolate Lucheng-19  complete genome,28763,121,.42,74,.25,121,.42,393,1.36,440,1.52,270,.93,342,1.18,319,1.10,391,1.35,49,.17,121,.42,74,.25,121,.42,49,.17,121,.42,49,.17,121,.42,393,1.36,440,1.52,49,.17,121,.42,74,.25,121,.42,74,.25,121,.42,245,.85,268,.93
NC_033176.1,Cynomolgus cytomegalovirus isolate 31908  complete genome,224064,1594,.71,245,.10,1692,.75,2578,1.15,3678,1.64,981,.43,2280,1.01,786,.35,2183,.97,147,.06,1643,.73,245,.10,1692,.75,49,.02,1594,.71,123,.05,1594,.71,2750,1.22,3850,1.71,0,0,1594,.71,245,.10,1692,.75,245,.10,1692,.75,1962,.87,3358,1.49
NC_033781.1,Human papillomavirus type 156 isolate GC01  complete genome,7329,0,0,0,0,0,0,196,2.67,0,0,98,1.33,0,0,49,.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_034440.1,Bat coronavirus isolate PREDICT PDF-2180  complete genome,29642,0,0,0,0,0,0,221,.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,.24,0,0
NC_034616.1,Human papillomavirus type 85 isolate 114B  complete genome,7812,0,0,152,1.94,0,0,348,4.45,0,0,201,2.57,0,0,152,1.94,0,0,152,1.94,0,0,152,1.94,0,0,152,1.94,0,0,152,1.94,0,0,348,4.45,0,0,152,1.94,0,0,152,1.94,0,0,152,1.94,0,0,397,5.08,0,0
NC_034972.1,Coronavirus AcCoV-JC34  complete genome,27682,58,.20,74,.26,58,.20,221,.79,205,.74,49,.17,58,.20,49,.17,58,.20,49,.17,58,.20,74,.26,58,.20,49,.17,58,.20,49,.17,58,.20,172,.62,156,.56,49,.17,58,.20,74,.26,58,.20,74,.26,58,.20,319,1.15,328,1.18
NC_035210.1,Tinamou hepatitis B virus isolate 160050  complete genome,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.62,0,0
NC_038286.1,Piry virus strain BeAn2423  complete genome,11271,0,0,49,.43,0,0,98,.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.43,0,0,0,0,0,0,0,0,0,0,49,.43,0,0,0,0,0,0,49,.43,0,0,49,.43,0,0,49,.43,0,0
NC_038294.1,Betacoronavirus England 1 isolate H123990006  complete genome,30111,36,.11,0,0,36,.11,196,.65,232,.77,98,.32,134,.44,98,.32,134,.44,0,0,36,.11,0,0,36,.11,0,0,36,.11,0,0,36,.11,245,.81,281,.93,0,0,36,.11,0,0,36,.11,0,0,36,.11,245,.81,281,.93
NC_038504.1,Hepatitis E virus rat R63 DEU 2009  complete genome,6965,64,.91,0,0,64,.91,172,2.46,162,2.32,49,.70,64,.91,49,.70,64,.91,0,0,64,.91,0,0,64,.91,0,0,64,.91,0,0,64,.91,172,2.46,162,2.32,0,0,64,.91,0,0,64,.91,0,0,64,.91,0,0,64,.91
NC_038522.1,Human papillomavirus type 161 isolate KC1  complete genome,7238,0,0,0,0,0,0,172,2.37,0,0,0,0,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.35,0,0
NC_038523.1,Human papillomavirus type 172  complete genome,7203,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,0,0,88,1.22,49,.68,137,1.90
NC_038524.1,Human papillomavirus type 175 isolate SE87  complete genome,7226,21,.29,74,1.02,95,1.31,123,1.70,144,1.99,123,1.70,144,1.99,123,1.70,144,1.99,74,1.02,95,1.31,74,1.02,95,1.31,0,0,21,.29,0,0,21,.29,123,1.70,144,1.99,0,0,21,.29,74,1.02,95,1.31,74,1.02,95,1.31,123,1.70,70,.96
NC_038525.1,Human papillomavirus type 204 isolate A342  complete genome,7227,36,.49,0,0,36,.49,196,2.71,232,3.21,49,.67,85,1.17,98,1.35,134,1.85,0,0,36,.49,0,0,36,.49,0,0,36,.49,0,0,36,.49,196,2.71,232,3.21,0,0,36,.49,0,0,36,.49,0,0,36,.49,98,1.35,134,1.85
NC_038672.1,Mucambo virus strain Mucambo BeAn 8  complete genome,11391,0,0,0,0,0,0,123,1.07,0,0,0,0,0,0,49,.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,.64,0,0
NC_039086.1,Human papillomavirus type 187 isolate ACS447  complete genome,7268,0,0,0,0,0,0,98,1.34,0,0,49,.67,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.67,0,0
NC_039089.1,Human papillomavirus type 71 DNA  complete genome,8017,198,2.46,148,1.84,198,2.46,395,4.92,418,5.21,148,1.84,198,2.46,173,2.15,247,3.08,49,.61,198,2.46,148,1.84,198,2.46,0,0,198,2.46,0,0,198,2.46,395,4.92,418,5.21,49,.61,198,2.46,148,1.84,198,2.46,148,1.84,198,2.46,270,3.36,345,4.30
NC_039207.1,Betacoronavirus Erinaceus VMC DEU 2012 isolate ErinaceusCoV 2012-174 GER 2012  complete genome,30148,63,.20,49,.16,112,.37,466,1.54,529,1.75,196,.65,259,.85,49,.16,112,.37,0,0,63,.20,49,.16,112,.37,0,0,63,.20,0,0,63,.20,466,1.54,529,1.75,0,0,63,.20,49,.16,112,.37,49,.16,112,.37,392,1.30,455,1.50
NC_039208.1,Porcine coronavirus HKU15 strain HKU15-155  complete genome,25425,0,0,0,0,0,0,147,.57,0,0,98,.38,0,0,98,.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.19,0,0,147,.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1.34,0,0
NC_040640.1,Human papillomavirus type 203 isolate SE369  complete genome,7372,32,.43,0,0,32,.43,49,.66,81,1.09,0,0,32,.43,0,0,32,.43,0,0,32,.43,0,0,32,.43,0,0,32,.43,0,0,32,.43,49,.66,81,1.09,0,0,32,.43,0,0,32,.43,0,0,32,.43,221,2.99,253,3.43
NC_041922.1,Salmonella phage Si3  complete genome,84419,224,.26,49,.05,273,.32,1473,1.74,1697,2.01,564,.66,788,.93,417,.49,641,.75,0,0,224,.26,49,.05,273,.32,0,0,224,.26,0,0,224,.26,1522,1.80,1746,2.06,0,0,224,.26,49,.05,273,.32,49,.05,273,.32,931,1.10,1106,1.31
NC_041923.1,Salmonella phage Mushroom  complete genome,87709,383,.43,49,.05,432,.49,2137,2.43,2471,2.81,662,.75,1045,1.19,589,.67,972,1.10,0,0,383,.43,49,.05,432,.49,0,0,383,.43,147,.16,530,.60,2186,2.49,2520,2.87,0,0,383,.43,49,.05,432,.49,49,.05,432,.49,588,.67,971,1.10
NC_041991.1,Salmonella phage vB SenS AG11  complete genome,41546,0,0,0,0,0,0,368,.88,0,0,270,.64,0,0,221,.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.11,0,0,368,.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.35,0,0
NC_041992.1,Salmonella phage wksl3  complete genome,42633,40,.09,0,0,40,.09,392,.91,432,1.01,245,.57,285,.66,196,.45,236,.55,0,0,40,.09,0,0,40,.09,0,0,40,.09,0,0,40,.09,392,.91,432,1.01,0,0,40,.09,0,0,40,.09,0,0,40,.09,196,.45,236,.55
NC_042025.1,Salmonella phage SE1 (in:Nonagvirus)  complete genome,60030,158,.26,0,0,158,.26,492,.81,650,1.08,245,.40,403,.67,270,.44,428,.71,0,0,158,.26,0,0,158,.26,0,0,158,.26,0,0,158,.26,443,.73,601,1.00,0,0,158,.26,0,0,158,.26,0,0,158,.26,368,.61,526,.87
NC_042044.1,Salmonella phage Melville  complete genome,159323,779,.48,98,.06,877,.55,4125,2.58,4855,3.04,1226,.76,2005,1.25,1177,.73,1907,1.19,49,.03,828,.51,98,.06,877,.55,49,.03,828,.51,98,.06,877,.55,4026,2.52,4756,2.98,0,0,779,.48,98,.06,877,.55,98,.06,877,.55,1544,.96,2274,1.42
NC_042096.1,Salmonella phage BPS17L1  complete genome,84916,289,.34,98,.11,387,.45,1770,2.08,2059,2.42,613,.72,902,1.06,613,.72,902,1.06,0,0,289,.34,98,.11,387,.45,0,0,289,.34,0,0,289,.34,1868,2.19,2157,2.54,0,0,289,.34,98,.11,387,.45,98,.11,387,.45,711,.83,951,1.11
NC_042097.1,Salmonella phage BPS17W1  complete genome,87609,302,.34,0,0,302,.34,1227,1.40,1529,1.74,417,.47,719,.82,515,.58,817,.93,0,0,302,.34,0,0,302,.34,0,0,302,.34,49,.05,351,.40,1325,1.51,1578,1.80,0,0,302,.34,0,0,302,.34,0,0,302,.34,1177,1.34,1476,1.68
NC_043528.1,Capuchin monkey hepatitis B virus isolate M12  complete genome,3182,0,0,0,0,0,0,98,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_045512.2,Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1  complete genome,29903,72,.24,123,.41,121,.40,491,1.64,489,1.63,98,.32,121,.40,98,.32,121,.40,98,.32,121,.40,123,.41,121,.40,49,.16,72,.24,49,.16,72,.24,491,1.64,489,1.63,49,.16,72,.24,123,.41,121,.40,123,.41,121,.40,294,.98,317,1.06
NC_046954.1,Rodent coronavirus isolate RtMruf-CoV-2 JL2014  complete genome,31393,40,.12,0,0,40,.12,785,2.50,825,2.62,147,.46,187,.59,98,.31,138,.43,0,0,40,.12,49,.15,89,.28,0,0,40,.12,0,0,40,.12,785,2.50,825,2.62,0,0,40,.12,49,.15,89,.28,49,.15,89,.28,294,.93,334,1.06
NC_046964.1,Alphacoronavirus Bat-CoV P.kuhlii Italy 3398-19 2015  complete genome,28128,0,0,49,.17,0,0,270,.95,0,0,221,.78,0,0,221,.78,0,0,49,.17,0,0,49,.17,0,0,0,0,0,0,0,0,0,0,270,.95,0,0,0,0,0,0,49,.17,0,0,49,.17,0,0,245,.87,0,0
NC_046965.1,Canada goose coronavirus strain Cambridge Bay 2017  complete genome,28539,235,.82,98,.34,235,.82,417,1.46,431,1.51,221,.77,333,1.16,172,.60,284,.99,98,.34,235,.82,98,.34,235,.82,0,0,235,.82,98,.34,235,.82,466,1.63,480,1.68,0,0,235,.82,98,.34,235,.82,147,.51,235,.82,686,2.40,774,2.71
NC_047743.1,Burkholderia phage Bp-AMP1 complete genome,42409,492,1.16,0,0,492,1.16,49,.11,541,1.27,49,.11,541,1.27,49,.11,541,1.27,0,0,492,1.16,0,0,492,1.16,0,0,492,1.16,0,0,492,1.16,49,.11,541,1.27,0,0,492,1.16,0,0,492,1.16,0,0,492,1.16,196,.46,639,1.50
NC_047752.1,Burkholderia phage vB BceM AP3  complete genome,36499,167,.45,0,0,167,.45,49,.13,216,.59,49,.13,216,.59,49,.13,216,.59,0,0,167,.45,0,0,167,.45,0,0,167,.45,0,0,167,.45,49,.13,216,.59,0,0,167,.45,0,0,167,.45,0,0,167,.45,196,.53,363,.99
NC_047753.1,Salmonella phage SEN8  complete genome,35203,121,.34,0,0,121,.34,49,.13,170,.48,0,0,121,.34,0,0,121,.34,0,0,121,.34,0,0,121,.34,0,0,121,.34,0,0,121,.34,98,.27,219,.62,0,0,121,.34,0,0,121,.34,0,0,121,.34,147,.41,268,.76
NC_047786.1,Salmonella phage vB SenS Sasha  complete genome,53263,75,.14,0,0,75,.14,417,.78,443,.83,147,.27,222,.41,196,.36,271,.50,0,0,75,.14,0,0,75,.14,0,0,75,.14,0,0,75,.14,417,.78,443,.83,0,0,75,.14,0,0,75,.14,0,0,75,.14,196,.36,271,.50
NC_047859.1,Salmonella phage SP01  complete genome,117842,427,.36,147,.12,574,.48,1866,1.58,2293,1.94,883,.74,1310,1.11,663,.56,1090,.92,49,.04,476,.40,147,.12,574,.48,0,0,427,.36,98,.08,525,.44,1816,1.54,2243,1.90,0,0,427,.36,147,.12,574,.48,147,.12,574,.48,1813,1.53,2191,1.85
NC_047875.1,Salmonella phage UPF BP1  complete genome,39902,39,.09,49,.12,88,.22,713,1.78,752,1.88,294,.73,333,.83,245,.61,284,.71,49,.12,88,.22,49,.12,88,.22,0,0,39,.09,49,.12,88,.22,687,1.72,726,1.81,0,0,39,.09,49,.12,88,.22,49,.12,88,.22,147,.36,186,.46
NC_047898.1,Salmonella phage YSP2  complete genome,50316,271,.53,0,0,271,.53,711,1.41,884,1.75,294,.58,565,1.12,294,.58,565,1.12,0,0,271,.53,0,0,271,.53,0,0,271,.53,0,0,271,.53,711,1.41,884,1.75,0,0,271,.53,0,0,271,.53,0,0,271,.53,221,.43,492,.97
NC_047941.1,Salmonella phage vB SpuP Spp16  complete genome,41832,122,.29,123,.29,171,.40,565,1.35,613,1.46,344,.82,466,1.11,221,.52,294,.70,0,0,122,.29,123,.29,171,.40,0,0,122,.29,0,0,122,.29,565,1.35,613,1.46,0,0,122,.29,123,.29,171,.40,98,.23,171,.40,392,.93,514,1.22
NC_047947.1,Salmonella phage vB SenS PHB07  complete genome,51818,179,.34,0,0,179,.34,515,.99,694,1.33,221,.42,400,.77,319,.61,498,.96,0,0,179,.34,0,0,179,.34,0,0,179,.34,0,0,179,.34,515,.99,645,1.24,0,0,179,.34,0,0,179,.34,0,0,179,.34,417,.80,596,1.15
NC_047958.1,Burkholderia phage vB BmuP KL4  complete genome,42250,325,.76,0,0,325,.76,49,.11,374,.88,49,.11,374,.88,49,.11,374,.88,0,0,325,.76,0,0,325,.76,0,0,325,.76,0,0,325,.76,49,.11,374,.88,0,0,325,.76,0,0,325,.76,0,0,325,.76,221,.52,546,1.29
NC_048004.1,Salmonella phage 3A 8767  complete genome,38821,118,.30,0,0,118,.30,172,.44,216,.55,123,.31,167,.43,123,.31,167,.43,0,0,118,.30,49,.12,118,.30,0,0,118,.30,0,0,118,.30,172,.44,216,.55,0,0,118,.30,49,.12,118,.30,49,.12,118,.30,98,.25,216,.55
NC_048005.1,Salmonella phage S113  complete genome,112582,400,.35,74,.06,474,.42,1864,1.65,2264,2.01,466,.41,866,.76,368,.32,768,.68,74,.06,474,.42,74,.06,474,.42,0,0,400,.35,0,0,400,.35,1864,1.65,2264,2.01,0,0,400,.35,74,.06,474,.42,74,.06,474,.42,1274,1.13,1674,1.48
NC_048006.1,Salmonella phage S114  complete genome,110926,418,.37,49,.04,467,.42,1570,1.41,1988,1.79,441,.39,859,.77,343,.30,761,.68,49,.04,467,.42,49,.04,467,.42,0,0,418,.37,0,0,418,.37,1545,1.39,1963,1.76,0,0,418,.37,49,.04,467,.42,49,.04,467,.42,1422,1.28,1791,1.61
NC_048007.1,Salmonella phage S116  complete genome,110664,416,.37,74,.06,416,.37,1472,1.33,1740,1.57,589,.53,906,.81,589,.53,906,.81,74,.06,416,.37,74,.06,416,.37,49,.04,416,.37,49,.04,416,.37,1570,1.41,1838,1.66,0,0,416,.37,74,.06,416,.37,74,.06,416,.37,956,.86,1323,1.19
NC_048008.1,Salmonella phage S126  complete genome,111999,357,.31,0,0,357,.31,1423,1.27,1780,1.58,760,.67,1117,.99,662,.59,1019,.90,0,0,357,.31,0,0,357,.31,0,0,357,.31,98,.08,455,.40,1398,1.24,1755,1.56,0,0,357,.31,0,0,357,.31,0,0,357,.31,1201,1.07,1558,1.39
NC_048009.1,Salmonella phage S131  complete genome,110091,326,.29,147,.13,473,.42,1766,1.60,2043,1.85,1030,.93,1307,1.18,785,.71,1111,1.00,49,.04,375,.34,147,.13,473,.42,0,0,326,.29,0,0,326,.29,1913,1.73,2190,1.98,0,0,326,.29,147,.13,473,.42,147,.13,473,.42,907,.82,1233,1.11
NC_048010.1,Salmonella phage S132  complete genome,116832,472,.40,49,.04,521,.44,1691,1.44,2114,1.80,637,.54,1060,.90,392,.33,864,.73,49,.04,521,.44,49,.04,521,.44,0,0,472,.40,98,.08,570,.48,1740,1.48,2163,1.85,0,0,472,.40,49,.04,521,.44,49,.04,521,.44,1029,.88,1501,1.28
NC_048011.1,Salmonella phage S133  complete genome,110926,418,.37,49,.04,467,.42,1570,1.41,1988,1.79,441,.39,859,.77,343,.30,761,.68,49,.04,467,.42,49,.04,467,.42,0,0,418,.37,0,0,418,.37,1545,1.39,1963,1.76,0,0,418,.37,49,.04,467,.42,49,.04,467,.42,1422,1.28,1791,1.61
NC_048012.1,Salmonella phage S147  complete genome,111447,498,.44,49,.04,547,.49,1618,1.45,2116,1.89,589,.52,1087,.97,515,.46,1013,.90,49,.04,547,.49,49,.04,547,.49,0,0,498,.44,0,0,498,.44,1667,1.49,2165,1.94,0,0,498,.44,49,.04,547,.49,49,.04,547,.49,1202,1.07,1700,1.52
NC_048013.1,Salmonella phage S124  complete genome,112564,394,.35,98,.08,492,.43,1302,1.15,1668,1.48,515,.45,860,.76,417,.37,762,.67,49,.04,443,.39,98,.08,492,.43,0,0,394,.35,49,.04,443,.39,1302,1.15,1668,1.48,0,0,394,.35,98,.08,492,.43,98,.08,492,.43,1177,1.04,1571,1.39
NC_048062.1,Salmonella phage Sw2  complete genome,114274,387,.33,49,.04,436,.38,1203,1.05,1540,1.34,539,.47,926,.81,294,.25,681,.59,49,.04,436,.38,49,.04,436,.38,49,.04,436,.38,147,.12,534,.46,1203,1.05,1540,1.34,0,0,387,.33,49,.04,436,.38,49,.04,436,.38,1544,1.35,1931,1.68
NC_048089.1,Salmonella phage STG2  complete genome,114275,407,.35,49,.04,407,.35,1423,1.24,1707,1.49,637,.55,1044,.91,637,.55,995,.87,49,.04,407,.35,49,.04,407,.35,0,0,407,.35,0,0,407,.35,1472,1.28,1756,1.53,0,0,407,.35,49,.04,407,.35,49,.04,407,.35,1127,.98,1485,1.29
NC_048105.1,Salmonella phage BSP161  complete genome,39688,101,.25,0,0,101,.25,368,.92,420,1.05,147,.37,248,.62,147,.37,248,.62,0,0,101,.25,0,0,101,.25,0,0,101,.25,0,0,101,.25,368,.92,420,1.05,0,0,101,.25,0,0,101,.25,0,0,101,.25,270,.68,371,.93
NC_048110.1,Salmonella phage Seafire  complete genome,111851,241,.21,49,.04,290,.25,1424,1.27,1615,1.44,540,.48,731,.65,393,.35,584,.52,49,.04,290,.25,49,.04,290,.25,0,0,241,.21,49,.04,241,.21,1473,1.31,1664,1.48,0,0,241,.21,98,.08,339,.30,98,.08,339,.30,1446,1.29,1638,1.46
NC_048113.1,Salmonella phage Lumpael  complete genome,41126,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,0,0,277,.67,294,.71,571,1.38
NC_048145.1,Salmonella phage 3-29  complete genome,110377,381,.34,123,.11,430,.38,1547,1.40,1804,1.63,565,.51,847,.76,418,.37,700,.63,98,.08,430,.38,98,.08,430,.38,0,0,381,.34,0,0,381,.34,1571,1.42,1853,1.67,0,0,381,.34,123,.11,430,.38,123,.11,430,.38,1274,1.15,1655,1.49
NC_048149.1,Salmonella phage 1-23  complete genome,112496,300,.26,98,.08,398,.35,1447,1.28,1747,1.55,490,.43,790,.70,441,.39,741,.65,49,.04,349,.31,98,.08,398,.35,0,0,300,.26,0,0,300,.26,1447,1.28,1747,1.55,0,0,300,.26,98,.08,398,.35,49,.04,349,.31,931,.82,1231,1.09
NC_048179.1,Salmonella phage ZCSE2  complete genome,53965,83,.15,74,.13,83,.15,368,.68,377,.69,245,.45,328,.60,245,.45,328,.60,0,0,83,.15,49,.09,83,.15,0,0,83,.15,0,0,83,.15,368,.68,377,.69,0,0,83,.15,74,.13,83,.15,74,.13,83,.15,638,1.18,721,1.33
NC_048212.1,Bat coronavirus  complete genome,28975,62,.21,49,.16,62,.21,343,1.18,356,1.22,196,.67,209,.72,147,.50,209,.72,0,0,62,.21,49,.16,62,.21,0,0,62,.21,0,0,62,.21,343,1.18,356,1.22,0,0,62,.21,49,.16,62,.21,49,.16,62,.21,393,1.35,455,1.57
NC_048214.1,Duck coronavirus isolate DK GD 27 2014  complete genome,27754,110,.39,74,.26,110,.39,393,1.41,355,1.27,98,.35,110,.39,98,.35,159,.57,49,.17,110,.39,74,.26,110,.39,49,.17,110,.39,49,.17,110,.39,393,1.41,355,1.27,49,.17,110,.39,74,.26,110,.39,74,.26,110,.39,245,.88,306,1.10
NC_048216.1,NL63-related bat coronavirus strain BtKYNL63-9b  complete genome,28679,0,0,0,0,0,0,147,.51,0,0,49,.17,0,0,49,.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,1.19,0,0
NC_048217.1,Murine hepatitis virus strain A59  complete genome,31335,0,0,49,.15,0,0,466,1.48,0,0,245,.78,0,0,245,.78,0,0,0,0,0,0,49,.15,0,0,0,0,0,0,49,.15,0,0,466,1.48,0,0,0,0,0,0,49,.15,0,0,49,.15,0,0,392,1.25,0,0
